ligandID,SMILES,maxring,numring,PDBs,PDBs_num
05S,Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NC(CNCCC2)C)C(=O)N,12,4,3qtf,1
06H,Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NC(C(=O)N(CCC2)C)C)C(=O)N,12,4,3r91,1
06J,Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NCC5CCCN5CCC2)C(=O)N,12,5,3r92,1
06T,Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NC(C(CN(CC2)C(=O)C(C)N)C)C)C(=O)N,12,4,3rkz,1
0BI,CC(C)c1cccc(c1)C2(CC2)NCC(C3Cc4cccc(c4)OCCCCNc5cc(cc(c5)C(=O)N3)COC)O,16,5,5qd7 3k5c,2
0CR,COc1cc2c3cc1OCCOc4cc5c(cc4OCc6cn(nn6)CCc7ccc(cc7)S(=O)(=O)N)Cc8cc9c(cc8Cc1cc(c(cc1C5)OCc1cn(nn1)CCC(=O)O)OCCOc1cc(c(cc1OC)Cc1cc(c(cc1C3)OC)OCCO9)C2)OCc1cn(nn1)CCC(=O)O,24,24,3cyu,1
0CX,CCC1CCCC(C(C(=O)C2=CC3C4CC(CC4C=CC3C2CC(=O)O1)O)C)O,12,4,3uyk,1
0DV,CC1C2CCC(C2=CC3(CCC(=C3C(C1O)OC4C(C(C(C(O4)CO)O)O)O)C(C)C)C)CO,8,4,3ux0,1
0GM,CC(C)CC1C(CC(=O)NC(C(=O)NCc2cccc(c2)CNC(=O)CCC(C(=O)N1)NC(=O)C(Cc3cccc4c3cccc4)Cc5cccc6c5cccc6)CC(C)C)O,20,6,1fq5 1gvv,2
0JZ,CC(C)C1c2nc(c[se]2)C(=O)NC(c3nc(c[se]3)C(=O)NC(c4nc(c[se]4)C(=O)N1)C(C)C)C(C)C,18,4,4m2s 3g60,2
0LG,CC(C)c1cccc(c1)CNCC(C2COCC=CCC(NC(=O)c3cc(cc(c3)N(C)S(=O)(=O)C)C(=O)N2)c4ccccc4)O,15,4,4dpf,1
0LN,CN1CCCCN(S(=O)(=O)NC(=O)c2ccc3c(c2)n4c(c3C5CCCCC5)-c6ccc(cc6C=C(C4)C1=O)OC)C,16,6,4dru,1
0N1,Cc1cc2cc(c1)C(=O)NC(COCC=CCC(NC2=O)c3ccccc3)C(CNCc4cccc(c4)C(C)C)O,15,4,4dpi,1
0U8,C1C2C(C(C(O2)(OCC3C(C(C(O1)(O3)CO)O)O)CO)O)O,10,3,4ffg,1
0UK,CC1C2C(C(C(=CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)O)C)C)C(C3CCC(=O)O)(C)CC(=O)O)N2)(C)C)CCC(=O)O,15,5,4fdv,1
0V4,CC1C2CCC(C2=CC3(CCC(=C3C(C1O)OC4C(C(C(C(O4)CO)O)O)O)C(C)C)C)COC,8,4,6nv2 4fr3,2
0XA,Cc1cc2cc(c1)C(=O)NC(COCC=CCCCC2=O)C(CNC(C)(C)c3ncc(o3)C(C)(C)C)O,15,3,4gmi,1
13C,c1c(c2c(c(c1O)Cl)CC(=O)CCCCC=CCCNC2=O)O,14,2,2xx2,1
13I,CCOC(C1CCCC=CCCNC(=O)c2c(cc(c(c2CC1=O)Cl)O)O)O,14,2,2xx4,1
13N,c1ccc(cc1)CNC(=O)C2CCCC=CCCNC(=O)c3c(cc(c(c3CC2=O)Cl)O)O,14,3,2xx5,1
13T,CC=CC(C)C1C(O1)(C)C(C2COC(=O)C(C(C(C(=O)C(C(C(=CC(C(=O)CCC(C2=O)C)C)C)O)C)C)OC)O)O,18,2,2otj,1
13U,c1cc(ccc1CNC(=O)C2CCCN2C(=O)CNC3CCCCCCC3)C(=N)N,8,3,2zq2 2zhe,2
17Q,CN(C)CCCCCOC1CCCCCCCCCCC1,12,1,4bf4,1
1BV,Cc1c(ccc2c1nc(cc2OC3CC4C(=O)NC5(CC5CCC=CCC=CC(C(=O)N4C3)NC(=O)c6ccn(n6)C)C(=O)NS(=O)(=O)C7(CC7)C)OC(C)C)OC,15,7,4i31 4i32 4i33,3
1CD,CC1CC2CN1CCN3C(=O)c4cccc(c4N3)C5=Nc6c(cccc6O2)NC5=O,14,6,2ds1,1
1CP,Cc1c2[nH]c(c1CCC(=O)O)Cc3c(c(c([nH]3)Cc4c(c(c([nH]4)Cc5c(c(c([nH]5)C2)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O)C,16,5,1r3v 1r3q 1r3s,3
1CR,COc1cc2c3cc1OCCOc4cc5c(cc4OCc6cn(nn6)CCc7ccc(cc7)S(=O)(=O)N)Cc8cc9c(cc8Cc1cc(c(cc1C5)OCc1cn(nn1)CCC(=O)O)OCCOc1cc(c(cc1OC)Cc1cc(c(cc1C3)OC)OCCO9)C2)OCc1cn(nn1)CCC(=O)O,24,24,3cyu,1
1D2,CC1CC(C(C(O1)OC2CCCCCCCCCCC2)O)N(C)C,12,2,2wi9,1
1D4,CC1CC(C(C(O1)OC2CCCCCCCCCCCC2)O)N(C)C,13,2,2whw,1
1F2,CCC1C2(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC(=O)N3CCCC3c4cccnc4)C)OC5C(C(CC(O5)C)N(C)C)O)(C)OC)C)C)NC(=O)O2)C,14,5,4io9,1
1F3,CCC1C2(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC(=O)N3C=CCC3c4ccc(cc4)NC(=O)C)C)OC5C(C(CC(O5)C)N(C)C)O)(C)OC)C)C)NC(=O)O2)C,14,5,4ioa,1
1F4,CCC1C2(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC(=O)N3CC(CC3c4cccnc4)(C)C)C)OC5C(C(CC(O5)C)N(C)C)O)(C)OC)C)C)NC(=O)O2)C,14,5,4ioc,1
1F5,CC1C2CCC(C2=CC3(CCC(=C3C(C1O)OC4C(C5C6(C(O4)COC)OC(O5)C(O6)(C)C7CO7)O)C(C)C)C)(COC)O,8,7,4ihl,1
1FM,CC1CC=CC(=O)C(C(CC=Cc2cc(cc(c2C(=O)O1)O)OC)O)O,14,2,3wzu 4gs6 3w55,3
1GA,CC1=CCc2ccc(cc2)NCC(=CCC1)C,13,3,4di5 4rnq,2
1OG,CC(=O)OCC1=C(N=CC(C(S(=O)(=O)C1)C(=O)OC(C)(C)C)C=O)C(=O)O,8,1,4jpm,1
1P1,Cn1cc2cc1C(=O)NCCC(C(=O)Nc3cn(c(n3)C(=O)Nc4cn(c(n4)C(=O)Nc5cc(n(c5)C)C(=O)Nc6cc(n(c6)C)C(=O)NCCC(C(=O)Nc7cn(c(n7)C(=O)Nc8cn(c(n8)C(=O)Nc9cc(n(c9)C)C(=O)N2)C)C)N)C)C)N,50,9,3i5l,1
1P2,Cn1cc2cc1C(=O)NCC(CC(=O)Nc3cn(c(n3)C(=O)Nc4cc(n(c4)C)C(=O)Nc5cc(n(c5)C)C(=O)Nc6cc(n(c6)C)C(=O)NCC(CC(=O)Nc7cn(c(n7)C(=O)Nc8cc(n(c8)C)C(=O)Nc9cc(n(c9)C)C(=O)N2)C)N)C)N,50,9,3omj,1
1QT,CCc1ccc2c(c1)C(CC3(O2)CCC3)NCC(C4Cc5cccc(c5)CCCCCCCC(=O)N4)O,14,5,4k8s,1
1R6,CCc1ccc2c(c1)C(CC3(O2)CCC3)NCC(C4Cc5cccc(c5)CCCCN6C=C(C=CC6=O)C(=O)N4)O,14,6,4ke1,1
1R8,CCc1ccc2c(c1)C(CC3(O2)CCC3)NCC(C4Cc5cccc(c5)CCCCCCC(=O)N4)O,13,5,4ke0,1
1RL,CCN(CC)CCOc1cccc2c1N=C3c4c5c(c(c6c4C(=O)C(O6)(OC=CC(C(C(C(C(C(C(C(C=CC=C(C(=O)NC(=C3O2)C5=O)C)C)O)C)O)C)OC(=O)C)C)OC)C)C)O,24,6,4kn4,1
1RM,Cc1c(c2c3c4c1OC(C4=O)(OC=CC(C(C(C(C(C(C(C(C=CC=C(C(=O)NC(=C5C3=Nc6c(cccc6OCCCCN7CCN(CC7)CCn8ccnc8)O5)C2=O)C)C)O)C)O)C)OC(=O)C)C)OC)C)O,24,8,4kn7,1
1SY,c1nc(c2c(n1)n(cn2)C3C(C4C(O3)COP(=O)(OC5C(C(COP(=O)(O4)O)OC5n6cnc7c6NC(=NC7=O)N)O)O)O)N,13,7,7buq 5grm 5cfq 4ksy 4loh 6dnk 6wt7 4o67 5vdp 6nt7 6nt8 6mjx 6a06 4lez 4loj 6y99,16
1T8,CC(C)C1C(=O)NCC=CCc2ccc(cc2)CC(C(=O)N1)(CCCN(Cc3ccc(cc3)c4cccnc4)NC(=O)C(C(C)(C)C)NC(=O)OC)O,15,5,4cpt 4cps,2
1X3,c1ccc2c(c1)CCN(C2)C(=O)OC3CC4C(=O)NC5(CC5CCCCCCCC(C(=O)N4C3)NC(=O)OC6CCCC6)C(=O)NS(=O)(=O)C7CC7,15,7,4ktc,1
1YC,c1nc(c2c(n1)n(cn2)C3C4C(C(O3)COP(=O)(OC5C(C(COP(=O)(O4)O)OC5n6cnc7c6N=C(NC7=O)N)O)O)O)N,14,7,5vdo 4loi,2
1YD,c1nc(c2c(n1)n(cn2)C3C(C4C(O3)COP(=O)(OC5C(COP(=O)(O4)O)OC(C5O)n6cnc7c6N=C(NC7=O)N)O)O)N,12,7,4lok 6a05,2
1ZV,c1ccc(cc1)CCC2C(=O)N3CCCC3C(=O)NC(C(=O)C(NCCCCCCCC(N2)O)O)CCCNC(=[NH2+])N,19,3,1ay6,1
27J,CC1CCCC(CCCCCc2cc(cc(c2C(=O)O1)O)O)O,14,2,4mg8 7axh,2
2BA,c1nc(c2c(n1)n(cn2)C3C(C4C(O3)COP(=O)(OC5C(COP(=O)(O4)O)OC(C5O)n6cnc7c6ncnc7N)O)O)N,12,7,4w90 6cy7 5vz0 6yja 4d3h 4ys2 4wk1 3c21 6z15 5cfn 7agv 4xtt 4rww 6xnv 6wtl 6wtr 4rle 5f29 4yxm 6n5t 6n5s 6n5q 6n5p 6n5o 6n5n 6n5k 7ahe 6iyf 4qka 4qk8 4qk9 6hvl 6a03 5uxf 4qlm 4qln 4w92 5ks7 5xsn 4yp1 4s1b 7ahm 7ahh 5vyz 6cff 3muv 3c1y 4qsh 4qsk,49
2CR,CC1CC(CC(C(C(=CC=CCC(OC(=O)CC(C(C1)C)O)C2CCCC2C(=O)O)C#N)O)C)C,18,2,4p3o 4p3n 4p3p 5zy9,4
2J8,CC(C)C1c2nc(c[se]2)C(=O)NC(c3nc(c[se]3)C(=O)NC(c4nc(c[se]4)C(=O)N1)C(C)C)C(C)C,18,4,4m2t 3g61,2
2LQ,c1cc(ccc1CC(C(=O)O)N)NC(=O)C2CCCC=CCC2,8,2,4pbt,1
2YD,CC1CCC2C(C(C(C(O2)C3=C(C(=O)C(=C4C3CC(O4)(C(CC(CC(=C1)C)C)C)O)C)O)C)O)C,16,4,4q1s,1
30B,Cc1c(ccc2c1nc(cc2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)c7nc(cs7)C(C)C)OC,14,7,3kee,1
35A,CC1CCc2cccc(c2)CC(C(=O)OCc3cc(nc(c3)N(C)S(=O)(=O)C)CC1)(C)N,16,3,2ph8,1
36J,CC1CCCC(CCCC=Cc2cc(cc(c2C(=O)O1)O)O)O,14,2,5xo7 5ie5 5ie4 5z7j 4tuz 6jr2,6
36L,Cc1nc(co1)C=C(C)C=CC=C(C)C(C(C)C2CC(C3(C(O3)C=CC(C4CC(CC=CC(=O)O2)CC(=O)O4)C)C)O)OC,16,4,4tuy,1
39W,CC(C)c1csc(n1)c2cc(c3ccc(c(c3n2)F)OC)OC4CC5C(=O)N(CCCCC=CC6CC6(NC(=O)N5C4)C(=O)NS(=O)(=O)C7(CC7)C)C,14,7,4u01,1
3EO,CC(C)c1csc(n1)c2cc(c3ccc(cc3n2)OC)OCC4CC5N4C(=O)NC6(CC6C=CCCCCN(C5=O)C)C(=O)NS(=O)(=O)C7(CC7)C,14,7,4tyd,1
3GT,CC1C2CC(C(C=CC=C(Cc3cc(c(c(c3)OC)Cl)N(C(=O)CC(C4(C1O4)C)OC(=O)C(C)N(C)C(=O)C)C)C)OC)(NC(=O)O2)O,19,4,4tv8,1
3LK,CCC1(CC(C2(C(CCC3(C2C(=O)CC3)C(C1O)C)C)C)OC(=O)CSC4CCCN(C4)C(=O)C(C(C)C)N)C,8,4,4wfb,1
3M6,CC1CN(C(=O)c2cccc(c2OC1CN(C)C(=O)Nc3ccc(cc3)C(F)(F)F)NS(=O)(=O)c4ccc(cc4)F)C(C)C(=O)O,8,4,4wgi,1
3M7,CC(C)(C)OC(=O)NC1CCCCCC=CC2CC2(NC(=O)C3CC(CN3C1=O)Oc4c5cc(ccc5c(cn4)OC)Cl)C(=O)NS(C6CC6)(O)O,15,6,4wh8,1
3OW,CC(C)CNC(=O)C(CC(C1COCc2cccc(c2)C(NC(=O)c3cc(cc(c3)N(C)S(=O)(=O)C)C(=O)N1)c4ccccc4)O)C(C)C,15,4,3own,1
3OX,CC(C)CNC(=O)C(CC(C1COCc2cccc(c2)C(NC(=O)c3cc(cc(c3)N(C)S(=O)(=O)C)C(=O)N1)c4ccccc4)O)C(C)C,15,4,3own,1
3Y8,CC1=C2C(C(C(N2)(C3C(C(C(N3)CC4=NC(CC5=NC1C(C5CCC(=O)O)(C)CC(=O)O)(C(=C4CCC(=O)O)CC(=O)O)C)(C)C=CC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O,15,5,4x7g,1
3YI,Cc1c(c2c3c4c1OC(C4=O)(OC=CC(C(C(C(C(C(C(C(C=CC=C(C(=O)Nc(c2O)c(c3O)C=O)C)C)O)C)O)C)OC(=O)C)C)OC)C)O,24,5,6bef,1
3ZP,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)C)COC4C(C(C(C(O4)C)O)O)OC,16,4,4x7x,1
40P,CC1CC23CCC(=CC2C4C5C(C(CC(O4)(O5)CC6CCCC7(O6)CCC8(O7)C(CCC(O8)CC(=C)CCCC3=NCC1C)(C)O)C)O)C(=O)O,19,8,4xhe,1
41J,CC1CC23CCC(=CC2C4C5C(C(CC(O4)(O5)CC6CCCC7(O6)CCC8(O7)C(CCC(O8)CC(=CCCC3=NCC1C)C)(C)O)C)O)C=C,19,8,4xk9,1
451,CC(=O)Nc1ccc2c(c1)OCCOCCOc3ccccc3OCCOCCO2,18,3,3fyx,1
4BW,c1nc(c2c(n1)n(cn2)C3C(C4C(O3)COP(=O)(OC5C(COP(=O)(O4)O)OC(C5O)n6cnc7c6N=C(NC7=O)N)O)O)N,12,7,6yj9 6ih7 5vdt 5cfm 6k3y 4yaz 6wt4 4yb1 6ydz 6ael,10
4P2,C=CC1CC1(C(=O)NS(=O)(=O)C2CC2)NC(=O)C3CC4CN3C(=O)C(NC(=O)OC5CCCC5CCCCCc6c(cc7ccccc7n6)O4)C8CCCC8,18,8,6fe6,1
4QS,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=C(C(=O)C(=C(C1)C2=O)OC)C)C)OC)OC(=O)N)C)C)O)OC,19,2,4as9,1
4T1,c1cc2cc(c1)NC(=O)CCCc3ccc(cc3)C(C(=O)NC2)Nc4ccc5c(c4)ccnc5N,16,6,4zxy,1
4UR,c1nc(c2c(n1)n(cn2)C3C4C(C(O3)COP(=O)(OC5C(COP(=O)(O4)O)OC(C5O)n6cnc7c6N=C(NC7=O)N)O)O)N,13,7,5bqx,1
4W9,CCC1CC2(C=C(C(CC23C(=C(C(=O)C4(C(CCC5C4CCCC5O)CC1O)C)C(=O)N3)O)C)C)C,11,5,5bu3,1
587,CCC1C=C(C(C(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)Oc5ccc6c(c5)ccn6C)C)O)C)OC)OC)C)O)C,21,6,1qpl,1
58T,CNc1c2c3nc(n1)OCCOCCOc4cccc(c4)CN3C(=O)N2,15,4,5anu,1
59C,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=C(C(=O)C(=C(C1)C2=O)NCC=C)C)C)OC)OC(=O)N)C)C)O)OC,19,2,4asa,1
5BF,c1ccc(cc1)CC(C=O)NC(=O)C2Cc3ccc(cc3)OCCCCOc4ccc(cc4)CCC(=O)c5ccc([nH]5)C(=O)N2,24,8,4q2k,1
5KK,C1CNCN2CNCCNCN(CN1)CNCCNC2,14,3,5e78,1
5LG,CC(C)CC1C(=O)NC(CCC(=O)NCCn2cc(nn2)CC(C(=O)N1)NC(=O)OCc3ccccc3)CO,17,3,5e0g,1
5LH,CC(C)CC1C(=O)NC(CCC(=O)NCCCn2cc(nn2)CC(C(=O)N1)NC(=O)OCc3ccccc3)CO,18,3,5e0h 6bic,2
5LJ,c1ccc(cc1)COC(=O)NC2Cc3cn(nn3)CCCCCCNC(=O)CCC(NC(=O)C(NC2=O)CC4CCCCC4)CO,21,4,5e0j,1
5N7,c1cc2ccc1CC(C(=O)NC(Cc3ccc(cc3)NC(=O)CCN4CCN(CCC(=O)N2)CC4)C(=O)NCc5ccc(cc5)C(=N)N)NS(=O)(=O)NC6CCCCC6,26,10,5eg4,1
5P8,CC1c2cc(ccc2C(=O)N(Cc3c(c(n(n3)C)C#N)-c4cc(c(nc4)N)O1)C)F,12,4,4uxl 5aa9 5aa8 5a9u 4clj 4cli,6
5QO,Cc1c2nc3c(cccc3n1)-c4cc5c([nH]4)C(CC=CC(N2)C)CNC5=O,13,5,5eol,1
5R2,CCc1c(nc2cc(ccc2n1)OC)OC3CC4C(=O)NC5(CC5C=CCCCCCC(C(=O)N4C3)NC(=O)OC(C)(C)C)C(=O)NS(=O)(=O)C6CC6,15,6,5epn 5epy,2
5RH,CC1CCCC(C=CC(=O)OC23C(C=CC1)C(C(=C)C(C2C(NC3=O)Cc4ccccc4)C)O)O,14,4,5eqi,1
5SO,CC1C2CCC(C2=CC3(CCC(=C3C(C1O)OC4C(C(C5C(O4)COC(O5)(C)C)O)O)C(C)C)C)COC,8,5,5exa,1
5WP,CCOc1c(c(c2c3c1C(OC=CC(C(C(C(C(C(C(C(C=CCC(C(=O)Nc(c2O)c(c3)CNN4CCN(CC4)C)C)C)OP(=O)(O)O)C)O)C)OC(C)O)C)OC)O)O)C,23,5,5fbu,1
5WQ,CCOc1c(c(c2c3c1C(OC=CC(C(C(C(C(C(C(=O)C(C=CCC(C(=O)Nc(c2O)c(c3)CNN4CCN(CC4)C)C)C)C)O)C)OC(=O)C)C)OC)O)O)C,23,5,5fbt,1
60Z,CCC(Cc1ccccc1)C2C=CCC=CCC(C(C(C3CCC(C(O3)(C(=O)C(=O)N4CCCCC4C(=O)O2)O)C)C)O)C,19,4,6oqa,1
62B,CC1CCC23CCC(=O)C2C1(C(CC(C(C3C)O)(C)C=C)OC(=O)CSC4CCC(CC4O)N)C,8,4,5hl7,1
62U,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=C(C(=O)C(=C(C1)C2=O)OC)c3ccco3)C)OC)OC(=O)N)C)C)O)OC,19,3,4asf,1
63P,CNC(=O)C1Cc2ccc(cc2)NC(=O)C(Cc3cc(ccc3Cl)Oc4ccc(cc4)C5(CCCC5)CC(=O)N1)NC(=O)c6ccnn6C,22,9,5hi4,1
63Q,CNC(=O)C1Cc2ccc(cc2)NC(=O)C(Cc3cc(ccc3Cl)-c4cccc(c4)CCC(=O)N1)NC(=O)c5ccnn5C,20,6,5hi5,1
66C,c1ccc-2c(c1)CN(c3ccccc3-c4c2n(nn4)c5ccc(cc5)CC(C(=O)O)N)C(=O)CCN,8,5,5dy6,1
67O,Cc1cc2ccc1C(COC(=O)Nc3cc(c(c(c3)F)O)CN(C(=O)C2Nc4ccc5c(c4)ccnc5N)C)C,16,6,5i46,1
6BQ,CC1CCC=CCC(C(CC(C(C(C(CC(=O)O1)OC(=O)C)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)OC(=O)CC(C)C)(C)O)N(C)C)OP(=O)(O)O)CCO)C)O,16,3,5ih1,1
6K9,CC1CC2CCC3C(=C)CC(O3)CCC45CC6C(O4)C7C(O6)C(O5)C8C(O7)CCC(O8)CC(=O)CC9C(CC(C1=C)O2)OC(C9OC)CC(CN)O,22,10,5jh7,1
6L0,C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC=CCCNC(=O)CCC(=O)N(CC1)O)O)O,33,1,5jj5 6z8a,2
6Q1,CN1CCN(CC1)Cc2ccc(cc2)c3cn4c5c3cnc(n5)NCCCCC(=O)NCCC4,14,5,5k0k,1
6QG,Cc1c-2c(on1)COc3cccc(c3)CCCS(=O)(=O)NCc4ccc2cc4,17,5,5l7h,1
6T3,c1cc2cc(c1)-c3ccnc(n3)Nc4ccc(c(c4)COCC=CCOC2)OCCN5CCCC5,18,5,5lbz,1
6TS,CCC(=O)Nc1ccccc1Nc2c(cnc(n2)Nc3ccnc(c3)C#CCCNC(=O)OC4CCCC=CCC4)Cl,8,4,5lcj,1
6VB,c1c(cc2c(c1Cc3cc(cc(c3O)Cc4cc(cc(c4O)Cc5cc(cc(c5O)C2)S(=O)(=O)O)Br)S(=O)(=O)O)O)S(=O)(=O)O,16,5,5lft,1
6VJ,c1ccc(cc1)c2cc3c(c(c2)Cc4cc(cc(c4O)Cc5cc(cc(c5O)Cc6cc(cc(c6O)C3)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)O,16,6,5kpf,1
70A,Cc1cc2ccc1C(COC(=O)Nc3ccc(c(c3)CN(C(=O)C2Nc4ccc5c(c4)ccnc5N)C)C6(CC6)c7[nH]nnn7)C,16,8,5l30,1
70C,Cc1cc2ccc1C(COC(=O)Nc3ccc(c(c3)CN(C(=O)C2Nc4ccc5c(c4)c(cnc5N)F)C)C6(CCCCC6)C(=O)O)C,16,7,5l2z,1
70D,Cc1cc2ccc1C(COC(=O)Nc3ccc(c(c3)CN(C(=O)C2Nc4ccc5c(c4)c(cnc5N)F)C)C6(CCC6)C(=O)O)C,16,7,5l2y,1
71E,CC(C)C(C(=O)NC1Cc2ccc3c(c2)C4(c5cc(ccc5NC4O3)F)c6c(nc(o6)C(NC1=O)C(C)(C)C)c7nc(co7)CO)O,12,7,5lov,1
773,CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OCC=Cc4cc5ccccc5nc4)C)C)NC(=O)O2)C,14,5,1nwx,1
78E,CC(C)C1C(=O)NC(C(=O)N2CCCC(N2)C(=O)OCCC=CC=CCCCCC(=O)N1)Cc3cccc(c3)O,22,3,5t9w,1
78R,CC1C(CCC=Cc2cccc(c2)COC(=O)C3CCCN(N3)C(=O)C(NC(=O)C(NC1=O)C(C)C)Cc4cccc(c4)O)OC,22,4,5t9z,1
